offshore_bin,hour_local,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
0-5nm,0,793,-0.13,-3.53,3.59,4.88,4.73,3.33
0-5nm,1,778,-0.04,-3.52,3.59,4.81,4.89,4.06
0-5nm,2,776,0.24,-3.34,3.81,4.83,4.65,3.57
0-5nm,3,781,0.23,-3.73,3.9,4.9,4.8,3.5
0-5nm,4,782,0.15,-3.6,3.53,4.66,4.88,3.52
0-5nm,5,805,0.03,-3.41,3.47,4.67,4.97,3.91
0-5nm,6,832,-0.2,-3.45,3.53,4.7,5.14,4.09
0-5nm,7,868,-0.31,-3.49,3.57,5.01,5.23,4.09
0-5nm,8,863,-0.38,-3.51,3.57,4.89,4.93,4.84
0-5nm,9,882,-0.64,-3.78,3.38,4.36,4.71,4.97
0-5nm,10,1411,-0.96,-4.66,2.74,4.34,5.35,5.34
0-5nm,11,1744,-1.56,-5.03,2.39,3.52,5.46,5.74
0-5nm,12,1967,-0.27,-3.39,3.39,5.39,5.66,6.08
0-5nm,13,1501,-0.12,-2.45,3.43,6.08,6.07,6.27
0-5nm,14,1153,0.1,-2.99,3.56,5.87,5.94,6.52
0-5nm,15,1103,0.29,-2.89,3.68,5.94,5.77,7.3
0-5nm,16,1087,0.08,-3.04,4.05,5.96,5.69,7.23
0-5nm,17,1076,0.21,-3.11,3.98,5.57,5.55,7.17
0-5nm,18,1059,0.23,-3.19,3.83,5.41,5.26,6.58
0-5nm,19,1023,0.28,-3.24,4.08,5.55,5.25,6.0
0-5nm,20,909,0.52,-2.89,3.86,5.34,4.98,5.25
0-5nm,21,873,0.34,-2.93,3.89,5.03,4.87,4.21
0-5nm,22,843,0.15,-3.4,3.89,5.03,4.92,3.94
0-5nm,23,836,-0.19,-3.46,3.33,4.75,4.99,3.5
10-20nm,0,478,-0.1,-3.8,3.06,5.69,5.69,5.88
10-20nm,1,475,-0.37,-3.69,3.3,5.26,5.52,5.65
10-20nm,2,451,-0.62,-3.87,3.55,5.05,5.43,5.44
10-20nm,3,421,-0.63,-4.27,2.8,5.27,5.55,5.74
10-20nm,4,440,-0.58,-4.18,2.65,5.27,5.58,5.72
10-20nm,5,451,-0.67,-3.45,2.52,5.13,5.59,6.05
10-20nm,6,452,-0.41,-3.24,2.85,5.42,5.52,5.93
10-20nm,7,466,-0.38,-3.57,2.99,5.17,5.51,5.76
10-20nm,8,471,-0.84,-3.69,2.37,4.72,5.53,5.31
10-20nm,9,443,-1.1,-3.98,2.28,4.5,5.33,5.07
10-20nm,10,421,-0.92,-4.14,3.08,4.4,5.37,4.91
10-20nm,11,409,-0.69,-3.77,3.6,4.8,5.3,5.06
10-20nm,12,440,-0.18,-3.27,3.46,5.49,5.29,5.64
10-20nm,13,484,0.21,-2.79,3.83,6.2,5.75,6.97
10-20nm,14,962,0.81,-1.82,4.66,6.94,6.35,8.52
10-20nm,15,1154,0.63,-1.96,4.44,6.69,5.66,7.28
10-20nm,16,1151,0.59,-2.02,3.22,6.43,5.82,5.96
10-20nm,17,1013,0.06,-2.71,2.35,6.29,5.97,6.22
10-20nm,18,839,-0.49,-2.98,2.26,5.98,5.88,6.61
10-20nm,19,650,-0.42,-3.17,3.19,5.72,5.88,6.9
10-20nm,20,530,-0.02,-3.3,2.91,5.71,5.82,7.29
10-20nm,21,506,-0.02,-3.54,2.87,5.81,6.14,8.66
10-20nm,22,479,-0.31,-3.66,2.47,5.8,6.15,6.89
10-20nm,23,464,0.11,-3.02,2.89,6.18,5.77,6.58
20-40nm,0,890,-0.21,-3.04,2.93,5.66,5.61,6.74
20-40nm,1,817,-0.6,-3.23,3.32,5.55,5.89,6.89
20-40nm,2,783,-0.74,-3.7,2.51,5.25,5.92,6.69
20-40nm,3,741,-0.56,-3.71,3.19,5.08,5.66,6.52
20-40nm,4,711,-0.76,-3.97,3.17,4.93,5.52,6.6
20-40nm,5,689,-0.75,-3.59,3.28,5.21,5.53,6.27
20-40nm,6,688,-0.76,-3.94,3.14,5.61,5.65,6.35
20-40nm,7,675,-0.64,-4.12,2.52,5.37,5.69,6.56
20-40nm,8,649,-1.03,-4.33,3.01,5.35,5.81,6.49
20-40nm,9,624,-1.07,-4.21,3.11,4.77,5.63,6.09
20-40nm,10,619,-0.68,-3.9,3.46,4.77,5.55,5.56
20-40nm,11,633,-0.52,-3.46,2.97,4.66,5.43,5.55
20-40nm,12,615,-0.7,-3.29,3.36,4.89,5.17,5.78
20-40nm,13,581,-0.31,-3.06,3.52,5.35,5.44,5.23
20-40nm,14,562,-0.18,-3.22,3.99,5.57,5.55,4.89
20-40nm,15,561,-0.34,-2.81,3.41,5.71,5.56,5.61
20-40nm,16,606,-0.65,-2.92,2.6,5.92,5.8,6.57
20-40nm,17,711,-0.2,-2.94,2.92,6.32,6.27,6.85
20-40nm,18,941,-0.06,-2.53,2.93,6.63,6.21,6.44
20-40nm,19,1222,0.2,-2.09,3.27,6.69,6.07,5.85
20-40nm,20,1325,0.5,-2.35,3.53,6.69,5.96,5.86
20-40nm,21,1256,0.4,-2.66,3.37,6.35,5.68,5.78
20-40nm,22,1074,0.04,-2.92,2.96,5.85,5.56,6.46
20-40nm,23,1001,-0.35,-3.28,2.26,5.65,5.69,6.76
40nm+,0,1322,-0.06,-2.64,3.15,5.33,5.3,4.77
40nm+,1,1378,-0.1,-2.99,3.06,5.68,5.48,6.26
40nm+,2,1388,-0.71,-3.66,2.39,5.33,6.01,7.43
40nm+,3,1394,-0.59,-3.31,2.53,5.56,6.37,7.28
40nm+,4,1381,-0.4,-2.98,2.4,5.64,6.32,6.81
40nm+,5,1366,-0.36,-2.56,2.32,5.78,6.05,6.38
40nm+,6,1337,-0.3,-2.58,2.48,5.69,6.11,6.53
40nm+,7,1271,-0.42,-3.04,2.01,5.66,6.1,6.76
40nm+,8,1233,-0.22,-2.96,2.31,5.57,5.74,6.79
40nm+,9,1219,0.25,-2.46,2.93,5.73,5.45,6.0
40nm+,10,1185,0.18,-2.29,2.27,5.78,5.52,5.68
40nm+,11,1135,0.03,-2.62,2.57,5.9,5.6,5.26
40nm+,12,1110,0.0,-2.73,3.03,5.69,5.56,5.13
40nm+,13,1074,-0.27,-2.74,2.44,5.44,5.6,5.39
40nm+,14,1036,-0.44,-2.78,2.05,5.28,5.64,5.23
40nm+,15,991,-0.87,-3.43,1.79,4.64,5.57,4.83
40nm+,16,927,-1.16,-3.77,1.52,4.07,5.45,4.89
40nm+,17,896,-1.03,-3.9,1.99,4.41,5.6,5.66
40nm+,18,852,-0.47,-3.87,2.39,4.95,5.61,5.88
40nm+,19,810,-0.43,-3.75,2.77,4.96,5.67,5.88
40nm+,20,828,-0.29,-3.22,2.61,5.22,5.69,5.55
40nm+,21,958,-0.47,-3.34,3.27,5.67,5.62,5.22
40nm+,22,1148,0.13,-3.09,4.02,5.84,5.3,4.59
40nm+,23,1240,0.2,-2.74,3.35,5.51,5.17,4.39
5-10nm,0,361,0.13,-3.55,3.51,4.76,4.84,4.68
5-10nm,1,365,0.33,-3.93,4.2,4.9,5.09,4.32
