hour_local,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
0,846,0.03,-3.4,3.47,5.56,5.43,6.57
1,835,0.04,-3.53,3.53,5.58,5.46,7.08
2,816,-0.38,-3.71,3.07,5.42,5.68,7.74
3,808,-0.48,-3.64,2.99,5.84,5.94,7.96
4,803,-0.52,-3.79,2.75,5.85,5.71,7.32
5,788,-0.53,-3.35,2.89,5.79,5.73,7.13
6,782,-0.19,-3.2,2.93,6.0,5.72,7.38
7,782,-0.17,-3.04,2.74,5.82,5.68,6.97
8,775,-0.29,-2.94,3.14,5.76,5.62,7.02
9,782,-0.22,-3.06,3.01,5.71,5.59,6.79
10,907,-0.48,-3.93,2.52,5.42,5.59,6.61
11,965,-0.81,-4.21,2.53,5.0,5.66,6.52
12,978,-0.35,-3.05,3.33,5.97,5.89,6.72
13,972,-0.07,-2.52,3.64,6.35,6.18,7.01
14,974,0.33,-2.49,3.75,6.48,6.1,7.13
15,966,0.08,-2.71,3.21,6.2,5.79,7.17
16,946,-0.08,-2.9,2.66,6.13,5.72,7.03
17,933,-0.4,-3.06,2.65,5.88,5.7,6.64
18,930,-0.23,-3.01,2.83,5.83,5.61,6.28
19,923,0.07,-2.84,3.25,5.84,5.52,6.3
20,904,0.55,-2.77,3.72,6.19,5.54,5.85
21,897,0.32,-3.06,3.91,6.15,5.47,6.08
22,881,0.21,-3.12,3.65,5.83,5.33,6.36
23,871,-0.07,-3.2,3.03,5.58,5.42,6.3
