offshore_bin,hour_local,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
0-5nm,0,211,-0.34,-3.8,3.76,4.66,4.5,2.89
0-5nm,1,210,-0.05,-3.79,3.83,4.96,5.04,3.07
0-5nm,2,210,0.24,-3.74,3.67,4.82,4.96,2.97
0-5nm,3,212,-0.55,-3.86,3.31,4.62,5.01,3.55
0-5nm,4,219,-0.5,-4.22,3.24,4.02,5.17,3.91
0-5nm,5,212,0.16,-3.74,3.8,4.88,5.17,4.26
0-5nm,6,215,-0.51,-3.64,3.03,4.7,5.28,4.1
0-5nm,7,239,0.05,-3.26,3.37,5.2,5.35,3.89
0-5nm,8,234,0.26,-3.62,3.69,5.2,4.76,3.99
0-5nm,9,224,-0.33,-3.66,3.02,4.36,4.78,4.33
0-5nm,10,352,-1.02,-5.06,2.45,4.19,5.41,4.64
0-5nm,11,416,-1.79,-4.87,2.19,3.39,5.51,5.64
0-5nm,12,447,-0.47,-3.59,3.84,5.45,5.78,6.35
0-5nm,13,313,-0.04,-2.87,3.48,6.1,6.09,6.35
0-5nm,14,244,0.5,-2.61,3.8,6.09,6.13,6.87
0-5nm,15,244,0.19,-2.73,3.3,5.97,5.99,7.32
0-5nm,16,244,0.08,-3.27,3.83,6.25,6.05,8.06
0-5nm,17,246,-0.04,-2.78,3.42,5.82,5.68,9.64
0-5nm,18,244,0.01,-2.93,3.3,5.39,5.17,7.43
0-5nm,19,219,-0.11,-3.25,3.73,5.41,5.33,6.9
0-5nm,20,189,0.1,-2.9,3.26,5.27,5.11,5.64
0-5nm,21,210,0.14,-3.15,3.97,4.93,4.59,4.19
0-5nm,22,217,0.45,-3.57,4.14,4.95,4.58,3.24
0-5nm,23,232,-0.28,-3.96,3.24,4.46,4.56,3.16
10-20nm,0,86,-0.7,-4.73,2.87,5.81,6.57,7.65
10-20nm,1,84,-0.66,-5.44,2.57,5.66,5.94,6.68
10-20nm,2,91,-0.56,-4.44,4.12,5.3,5.62,5.64
10-20nm,3,90,-0.53,-4.28,3.43,5.6,5.65,5.93
10-20nm,4,90,-0.99,-4.08,2.92,5.64,5.42,5.32
10-20nm,5,92,-1.08,-4.04,2.86,5.17,5.58,5.65
10-20nm,6,98,-0.37,-3.24,3.59,5.48,5.25,5.25
10-20nm,7,104,-0.3,-3.12,3.24,5.31,5.13,6.53
10-20nm,8,92,-0.65,-2.52,2.49,5.09,5.23,5.58
10-20nm,9,100,-0.85,-3.6,2.69,4.99,5.41,4.7
10-20nm,10,101,-0.53,-3.72,4.13,4.81,4.83,4.66
10-20nm,11,84,-0.35,-3.9,2.77,4.47,5.11,4.8
10-20nm,12,91,-0.11,-3.17,2.4,5.79,5.32,6.74
10-20nm,13,114,0.22,-2.22,4.04,6.82,5.94,7.24
10-20nm,14,234,1.15,-1.62,4.83,7.26,6.03,8.41
10-20nm,15,298,0.77,-1.75,4.08,6.56,5.57,6.04
10-20nm,16,256,0.59,-2.09,2.29,5.93,5.41,4.48
10-20nm,17,213,-0.41,-3.09,2.23,5.23,5.63,3.62
10-20nm,18,205,-0.57,-2.75,1.94,5.78,5.57,5.02
10-20nm,19,181,0.32,-2.83,2.85,5.5,5.1,6.75
10-20nm,20,153,0.92,-2.77,3.46,6.1,5.49,8.36
10-20nm,21,124,0.72,-2.75,3.52,6.46,6.23,9.09
10-20nm,22,85,-0.07,-3.15,2.15,5.67,6.23,6.46
10-20nm,23,79,-0.57,-3.33,1.98,6.19,6.41,9.95
20-40nm,0,230,-0.1,-3.25,3.17,5.74,5.63,7.58
20-40nm,1,182,-0.45,-3.52,3.06,5.3,5.53,7.57
20-40nm,2,155,-0.95,-3.94,1.7,5.23,6.16,7.47
20-40nm,3,140,-1.21,-4.26,1.95,4.78,6.41,7.36
20-40nm,4,148,-1.26,-4.75,2.17,4.53,6.45,7.19
20-40nm,5,138,-1.36,-3.79,2.45,5.05,5.99,6.55
20-40nm,6,135,-1.48,-4.15,2.18,5.36,5.68,6.05
20-40nm,7,127,-1.3,-4.23,2.07,4.86,5.65,5.64
20-40nm,8,124,-1.05,-4.23,1.94,4.42,6.05,6.87
20-40nm,9,118,-0.96,-3.8,2.18,4.63,6.48,8.44
20-40nm,10,125,-1.14,-4.39,2.19,4.82,5.75,7.43
20-40nm,11,143,-0.74,-3.57,2.84,5.0,5.53,5.55
20-40nm,12,141,-0.41,-2.78,2.94,5.55,5.32,5.23
20-40nm,13,137,-0.06,-2.33,3.57,5.82,5.46,5.13
20-40nm,14,147,-0.28,-3.02,3.55,6.17,6.57,6.64
20-40nm,15,135,-0.89,-3.15,2.28,5.88,6.5,7.78
20-40nm,16,172,-0.77,-2.57,2.26,6.6,5.99,6.7
20-40nm,17,189,-0.74,-2.66,2.29,6.33,6.37,6.84
20-40nm,18,216,-0.24,-2.83,2.6,6.2,5.68,5.0
20-40nm,19,257,0.75,-2.18,3.25,6.63,5.57,4.8
20-40nm,20,299,1.64,-2.47,4.41,7.06,5.48,4.89
20-40nm,21,317,0.67,-2.87,3.99,6.71,5.52,6.36
20-40nm,22,303,-0.09,-3.13,2.99,6.22,5.86,7.43
20-40nm,23,268,-0.4,-3.21,2.36,6.09,6.03,7.58
40nm+,0,245,0.69,-2.43,3.55,6.09,5.52,6.97
40nm+,1,275,0.6,-2.94,3.61,6.25,5.61,8.89
40nm+,2,288,0.14,-3.13,2.99,6.24,6.64,9.63
40nm+,3,292,-0.23,-2.43,2.53,6.46,7.27,10.75
40nm+,4,280,-0.16,-1.97,2.3,6.59,7.27,11.46
40nm+,5,278,-0.19,-2.09,2.33,6.61,6.98,10.93
40nm+,6,274,0.15,-2.07,2.49,6.66,6.94,10.77
40nm+,7,263,-0.08,-1.79,1.7,6.52,6.94,11.46
40nm+,8,255,-0.02,-1.78,2.45,6.57,6.83,12.14
40nm+,9,252,0.5,-1.78,3.08,6.72,6.46,12.85
40nm+,10,242,0.66,-1.98,2.51,6.79,6.44,12.39
40nm+,11,232,0.15,-2.3,2.54,6.73,6.85,11.41
40nm+,12,226,-0.21,-2.48,2.18,6.6,6.95,10.45
40nm+,13,218,-0.45,-2.79,2.49,6.19,6.65,9.69
40nm+,14,207,-0.71,-2.73,2.31,5.84,6.54,8.47
40nm+,15,198,-0.89,-3.22,1.91,5.41,5.8,7.25
40nm+,16,172,-1.37,-3.71,1.47,5.23,5.7,6.75
40nm+,17,163,-0.55,-3.58,1.99,5.47,5.66,6.14
40nm+,18,161,-0.13,-3.06,2.45,5.88,5.58,6.64
40nm+,19,160,-0.28,-2.6,2.87,6.36,5.9,7.03
40nm+,20,159,0.11,-2.52,2.57,6.43,5.98,7.15
40nm+,21,155,0.01,-2.72,3.82,6.25,5.69,6.61
40nm+,22,184,0.81,-2.29,4.05,6.26,5.34,6.25
40nm+,23,222,0.83,-2.01,3.47,6.24,5.39,6.3
5-10nm,0,74,0.23,-3.16,2.88,4.66,4.84,4.16
5-10nm,1,84,0.24,-4.67,3.25,4.54,5.16,4.21
5-10nm,2,72,-1.92,-4.73,3.38,4.59,5.69,5.66
5-10nm,3,74,-0.02,-3.21,3.22,6.25,5.61,6.44
5-10nm,4,66,0.71,-3.74,4.78,5.9,5.11,5.97
5-10nm,5,68,-0.27,-3.84,3.44,5.26,5.45,4.7
5-10nm,6,60,1.28,-1.85,4.59,5.77,4.92,5.05
5-10nm,7,49,1.01,-1.59,4.11,5.56,4.08,3.94
5-10nm,8,70,0.21,-2.53,3.23,5.78,4.99,3.91
5-10nm,9,88,-0.57,-2.93,3.03,5.23,5.29,4.44
5-10nm,10,87,-0.39,-2.65,2.18,5.85,5.44,6.46
5-10nm,11,90,-0.2,-2.79,2.61,5.7,6.02,6.77
5-10nm,12,73,-0.05,-1.34,3.86,6.61,6.88,6.97
5-10nm,13,190,0.78,-2.2,4.47,7.02,6.61,8.8
5-10nm,14,142,1.53,-1.71,3.75,6.88,5.71,5.44
5-10nm,15,91,0.58,-1.88,2.95,7.25,6.78,7.23
5-10nm,16,102,0.84,-1.67,2.65,7.14,6.32,12.69
5-10nm,17,122,-0.32,-3.0,2.81,6.52,6.54,9.64
5-10nm,18,104,-0.82,-3.92,3.05,6.03,5.84,8.39
5-10nm,19,106,-0.41,-4.38,3.32,5.25,5.65,6.44
5-10nm,20,104,-0.57,-4.42,3.5,5.31,5.65,6.12
5-10nm,21,91,0.01,-3.77,3.06,5.51,5.36,5.67
5-10nm,22,92,0.08,-3.26,2.9,4.6,5.15,5.29
5-10nm,23,70,0.32,-3.37,2.9,4.84,4.57,3.74
