region,offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
ligurian,0-5nm,112,-0.07,-4.02,4.12,4.72,4.78,5.1
ligurian,10-20nm,173,-0.41,-3.43,3.08,4.49,5.15,4.7
ligurian,20-40nm,489,-0.89,-3.01,2.29,5.52,5.67,5.61
ligurian,40nm+,115,-0.46,-3.2,2.3,6.01,5.76,5.46
ligurian,5-10nm,77,0.7,-2.38,2.85,4.99,4.5,4.79
other,0-5nm,6,-0.2,-0.81,0.08,4.86,5.13,6.53
other,10-20nm,14,5.81,3.29,6.34,6.54,1.36,9.57
other,20-40nm,1,0.62,0.62,0.62,6.38,5.75,6.62
other,5-10nm,1,4.71,4.71,4.71,8.27,3.56,11.98
sardinia_east,0-5nm,1202,0.05,-3.14,3.7,6.04,6.2,7.38
sardinia_east,10-20nm,382,-0.58,-2.64,2.21,6.74,6.78,8.47
sardinia_east,20-40nm,393,-0.19,-2.51,2.83,6.61,6.65,8.05
sardinia_east,40nm+,374,0.1,-3.07,3.01,5.86,5.4,5.16
sardinia_east,5-10nm,275,-0.28,-2.78,3.5,6.43,6.95,7.55
tyrrhenian,0-5nm,418,-0.09,-2.88,3.39,6.06,5.79,5.35
tyrrhenian,10-20nm,637,1.08,-1.33,4.03,6.65,5.52,4.48
tyrrhenian,20-40nm,38,1.01,-1.18,3.23,7.31,6.6,7.17
tyrrhenian,40nm+,695,-1.01,-3.07,1.61,5.89,6.75,9.5
tyrrhenian,5-10nm,367,1.34,-1.55,4.1,7.21,6.25,10.58
