region,offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
ligurian,0-5nm,305,-0.91,-4.33,4.07,3.14,5.08,2.0
ligurian,10-20nm,228,-1.48,-4.38,1.46,5.23,6.05,5.38
ligurian,20-40nm,680,-1.12,-3.95,1.98,5.26,6.12,5.99
ligurian,40nm+,213,-0.9,-2.83,1.52,5.6,5.76,6.1
ligurian,5-10nm,149,-0.13,-4.79,3.11,5.22,5.57,4.87
other,0-5nm,9,2.92,0.64,4.17,7.03,3.81,4.62
other,10-20nm,7,3.17,2.04,3.49,5.15,1.98,7.84
other,5-10nm,27,2.7,1.59,4.17,5.08,2.49,6.64
sardinia_east,0-5nm,1592,0.04,-3.52,3.66,4.91,4.94,4.45
sardinia_east,10-20nm,497,0.13,-4.01,3.62,5.7,5.68,6.26
sardinia_east,20-40nm,611,-0.45,-4.51,3.05,4.77,5.53,5.91
sardinia_east,40nm+,234,-0.07,-2.24,2.97,5.61,5.51,6.04
sardinia_east,5-10nm,505,-0.27,-3.61,3.16,4.81,5.23,4.59
tyrrhenian,0-5nm,27,-2.53,-6.04,3.21,5.17,6.91,12.54
tyrrhenian,10-20nm,89,-0.16,-2.35,2.73,6.31,6.57,9.66
tyrrhenian,20-40nm,590,0.3,-1.66,3.57,6.36,5.88,8.52
tyrrhenian,40nm+,1772,0.35,-2.41,3.35,6.5,6.41,9.35
tyrrhenian,5-10nm,10,-2.06,-2.57,1.85,6.36,8.63,12.12
