region,tod_band,offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
ligurian,afternoon,0-5nm,112,-0.07,-4.02,4.12,4.72,4.78,5.1
ligurian,afternoon,10-20nm,173,-0.41,-3.43,3.08,4.49,5.15,4.7
ligurian,afternoon,20-40nm,489,-0.89,-3.01,2.29,5.52,5.67,5.61
ligurian,afternoon,40nm+,115,-0.46,-3.2,2.3,6.01,5.76,5.46
ligurian,afternoon,5-10nm,77,0.7,-2.38,2.85,4.99,4.5,4.79
ligurian,night,0-5nm,305,-0.91,-4.33,4.07,3.14,5.08,2.0
ligurian,night,10-20nm,228,-1.48,-4.38,1.46,5.23,6.05,5.38
ligurian,night,20-40nm,680,-1.12,-3.95,1.98,5.26,6.12,5.99
ligurian,night,40nm+,213,-0.9,-2.83,1.52,5.6,5.76,6.1
ligurian,night,5-10nm,149,-0.13,-4.79,3.11,5.22,5.57,4.87
other,afternoon,0-5nm,6,-0.2,-0.81,0.08,4.86,5.13,6.53
other,afternoon,10-20nm,14,5.81,3.29,6.34,6.54,1.36,9.57
other,afternoon,20-40nm,1,0.62,0.62,0.62,6.38,5.75,6.62
other,afternoon,5-10nm,1,4.71,4.71,4.71,8.27,3.56,11.98
other,night,0-5nm,9,2.92,0.64,4.17,7.03,3.81,4.62
other,night,10-20nm,7,3.17,2.04,3.49,5.15,1.98,7.84
other,night,5-10nm,27,2.7,1.59,4.17,5.08,2.49,6.64
sardinia_east,afternoon,0-5nm,1202,0.05,-3.14,3.7,6.04,6.2,7.38
sardinia_east,afternoon,10-20nm,382,-0.58,-2.64,2.21,6.74,6.78,8.47
sardinia_east,afternoon,20-40nm,393,-0.19,-2.51,2.83,6.61,6.65,8.05
sardinia_east,afternoon,40nm+,374,0.1,-3.07,3.01,5.86,5.4,5.16
sardinia_east,afternoon,5-10nm,275,-0.28,-2.78,3.5,6.43,6.95,7.55
sardinia_east,night,0-5nm,1592,0.04,-3.52,3.66,4.91,4.94,4.45
sardinia_east,night,10-20nm,497,0.13,-4.01,3.62,5.7,5.68,6.26
sardinia_east,night,20-40nm,611,-0.45,-4.51,3.05,4.77,5.53,5.91
sardinia_east,night,40nm+,234,-0.07,-2.24,2.97,5.61,5.51,6.04
sardinia_east,night,5-10nm,505,-0.27,-3.61,3.16,4.81,5.23,4.59
tyrrhenian,afternoon,0-5nm,418,-0.09,-2.88,3.39,6.06,5.79,5.35
tyrrhenian,afternoon,10-20nm,637,1.08,-1.33,4.03,6.65,5.52,4.48
tyrrhenian,afternoon,20-40nm,38,1.01,-1.18,3.23,7.31,6.6,7.17
tyrrhenian,afternoon,40nm+,695,-1.01,-3.07,1.61,5.89,6.75,9.5
tyrrhenian,afternoon,5-10nm,367,1.34,-1.55,4.1,7.21,6.25,10.58
tyrrhenian,night,0-5nm,27,-2.53,-6.04,3.21,5.17,6.91,12.54
tyrrhenian,night,10-20nm,89,-0.16,-2.35,2.73,6.31,6.57,9.66
tyrrhenian,night,20-40nm,590,0.3,-1.66,3.57,6.36,5.88,8.52
tyrrhenian,night,40nm+,1772,0.35,-2.41,3.35,6.5,6.41,9.35
tyrrhenian,night,5-10nm,10,-2.06,-2.57,1.85,6.36,8.63,12.12
