hour_local,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
0,3844,0.09,-2.74,3.08,5.27,5.31,5.4
1,3813,0.1,-3.01,3.1,5.4,5.42,5.72
2,3764,-0.18,-3.36,2.85,5.17,5.51,6.0
3,3722,-0.13,-3.26,3.05,5.35,5.54,6.24
4,3699,-0.08,-3.16,2.89,5.28,5.54,5.92
5,3664,-0.2,-2.83,2.72,5.28,5.54,5.65
6,3647,-0.17,-2.88,2.86,5.42,5.55,5.69
7,3621,-0.21,-3.09,2.76,5.34,5.57,5.83
8,3592,-0.25,-3.13,2.77,5.12,5.46,5.85
9,3591,-0.15,-3.26,2.93,4.93,5.22,5.57
10,4056,-0.23,-3.7,2.6,4.81,5.41,5.48
11,4326,-0.43,-4.11,2.54,4.6,5.48,5.65
12,4470,-0.04,-2.92,3.12,5.44,5.52,5.74
13,4426,0.13,-2.19,3.11,5.92,5.86,6.22
14,4390,0.35,-2.28,3.32,6.03,5.77,6.26
15,4340,0.24,-2.29,3.22,6.01,5.68,6.58
16,4257,0.06,-2.47,2.9,5.88,5.68,6.62
17,4205,0.0,-2.87,2.62,5.76,5.83,6.64
18,4186,0.01,-2.85,2.85,5.76,5.7,6.63
19,4147,0.16,-2.72,3.1,5.8,5.67,6.15
20,4045,0.32,-2.66,3.17,5.87,5.65,5.85
21,3990,0.22,-2.94,3.24,5.73,5.57,5.64
22,3943,0.18,-2.85,3.36,5.6,5.4,5.48
23,3896,0.1,-2.73,2.9,5.37,5.37,5.39
