region,offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
ligurian,0-5nm,737,0.41,-4.02,4.37,4.81,4.88,5.1
ligurian,10-20nm,846,-0.25,-3.38,2.9,5.36,5.45,5.51
ligurian,20-40nm,1643,-0.6,-2.9,2.26,5.76,5.69,5.85
ligurian,40nm+,576,-0.42,-2.79,3.31,4.43,5.59,4.37
ligurian,5-10nm,383,0.04,-2.67,3.36,5.36,5.32,5.61
other,0-5nm,24,-1.14,-4.63,1.8,5.69,6.61,6.38
other,10-20nm,22,3.56,-1.75,5.41,6.48,3.5,10.49
other,20-40nm,1,1.65,1.65,1.65,6.38,5.75,6.62
other,5-10nm,7,-1.26,-1.87,2.14,7.4,7.03,7.48
sardinia_east,0-5nm,5185,0.23,-2.38,3.64,5.9,5.88,7.17
sardinia_east,10-20nm,1695,-0.16,-2.8,2.38,5.95,6.3,7.48
sardinia_east,20-40nm,1742,-0.09,-2.65,3.07,5.25,5.41,5.88
sardinia_east,40nm+,1981,-0.24,-2.69,2.43,5.15,5.28,4.48
sardinia_east,5-10nm,1420,0.2,-2.72,2.98,5.72,6.0,7.19
tyrrhenian,0-5nm,1941,-0.05,-2.67,3.07,5.8,5.98,5.74
tyrrhenian,10-20nm,2641,1.01,-0.61,3.84,6.91,5.83,6.22
tyrrhenian,20-40nm,250,0.05,-2.13,2.43,7.64,6.34,6.53
tyrrhenian,40nm+,3477,-0.22,-2.73,2.06,5.07,5.69,5.91
tyrrhenian,5-10nm,1517,0.91,-1.14,3.42,7.12,6.47,7.3
