region,offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
ligurian,0-5nm,913,-0.2,-4.21,4.06,3.65,4.42,2.15
ligurian,10-20nm,901,-0.43,-4.38,2.41,5.87,6.03,6.1
ligurian,20-40nm,2950,-0.35,-3.19,2.55,5.59,5.92,6.37
ligurian,40nm+,984,-0.06,-2.32,2.53,5.65,5.77,6.5
ligurian,5-10nm,465,0.13,-4.01,3.8,5.28,5.52,5.0
other,0-5nm,41,0.86,-0.78,3.57,6.21,4.51,4.32
other,10-20nm,15,2.19,0.92,3.97,5.15,3.55,5.23
other,5-10nm,50,3.2,0.49,4.55,5.48,2.64,4.89
sardinia_east,0-5nm,6236,0.24,-2.98,3.49,4.93,4.92,4.2
sardinia_east,10-20nm,2916,-0.19,-3.27,2.79,5.3,5.52,5.8
sardinia_east,20-40nm,2963,0.05,-3.04,3.14,4.88,5.31,4.88
sardinia_east,40nm+,1838,-0.03,-2.86,3.06,4.36,4.87,3.39
sardinia_east,5-10nm,2788,-0.06,-3.43,3.21,4.91,5.14,4.95
tyrrhenian,0-5nm,77,-0.2,-5.74,3.67,4.89,4.81,9.31
tyrrhenian,10-20nm,333,0.0,-3.13,3.16,5.74,6.67,10.82
tyrrhenian,20-40nm,2049,0.5,-2.13,3.53,6.17,6.04,8.44
tyrrhenian,40nm+,8753,-0.04,-2.52,2.3,5.77,5.68,6.37
tyrrhenian,5-10nm,63,0.19,-3.1,3.43,6.12,6.26,10.2
