region,tod_band,offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
ligurian,afternoon,0-5nm,737,0.41,-4.02,4.37,4.81,4.88,5.1
ligurian,afternoon,10-20nm,846,-0.25,-3.38,2.9,5.36,5.45,5.51
ligurian,afternoon,20-40nm,1643,-0.6,-2.9,2.26,5.76,5.69,5.85
ligurian,afternoon,40nm+,576,-0.42,-2.79,3.31,4.43,5.59,4.37
ligurian,afternoon,5-10nm,383,0.04,-2.67,3.36,5.36,5.32,5.61
ligurian,night,0-5nm,913,-0.2,-4.21,4.06,3.65,4.42,2.15
ligurian,night,10-20nm,901,-0.43,-4.38,2.41,5.87,6.03,6.1
ligurian,night,20-40nm,2950,-0.35,-3.19,2.55,5.59,5.92,6.37
ligurian,night,40nm+,984,-0.06,-2.32,2.53,5.65,5.77,6.5
ligurian,night,5-10nm,465,0.13,-4.01,3.8,5.28,5.52,5.0
other,afternoon,0-5nm,24,-1.14,-4.63,1.8,5.69,6.61,6.38
other,afternoon,10-20nm,22,3.56,-1.75,5.41,6.48,3.5,10.49
other,afternoon,20-40nm,1,1.65,1.65,1.65,6.38,5.75,6.62
other,afternoon,5-10nm,7,-1.26,-1.87,2.14,7.4,7.03,7.48
other,night,0-5nm,41,0.86,-0.78,3.57,6.21,4.51,4.32
other,night,10-20nm,15,2.19,0.92,3.97,5.15,3.55,5.23
other,night,5-10nm,50,3.2,0.49,4.55,5.48,2.64,4.89
sardinia_east,afternoon,0-5nm,5185,0.23,-2.38,3.64,5.9,5.88,7.17
sardinia_east,afternoon,10-20nm,1695,-0.16,-2.8,2.38,5.95,6.3,7.48
sardinia_east,afternoon,20-40nm,1742,-0.09,-2.65,3.07,5.25,5.41,5.88
sardinia_east,afternoon,40nm+,1981,-0.24,-2.69,2.43,5.15,5.28,4.48
sardinia_east,afternoon,5-10nm,1420,0.2,-2.72,2.98,5.72,6.0,7.19
sardinia_east,night,0-5nm,6236,0.24,-2.98,3.49,4.93,4.92,4.2
sardinia_east,night,10-20nm,2916,-0.19,-3.27,2.79,5.3,5.52,5.8
sardinia_east,night,20-40nm,2963,0.05,-3.04,3.14,4.88,5.31,4.88
sardinia_east,night,40nm+,1838,-0.03,-2.86,3.06,4.36,4.87,3.39
sardinia_east,night,5-10nm,2788,-0.06,-3.43,3.21,4.91,5.14,4.95
tyrrhenian,afternoon,0-5nm,1941,-0.05,-2.67,3.07,5.8,5.98,5.74
tyrrhenian,afternoon,10-20nm,2641,1.01,-0.61,3.84,6.91,5.83,6.22
tyrrhenian,afternoon,20-40nm,250,0.05,-2.13,2.43,7.64,6.34,6.53
tyrrhenian,afternoon,40nm+,3477,-0.22,-2.73,2.06,5.07,5.69,5.91
tyrrhenian,afternoon,5-10nm,1517,0.91,-1.14,3.42,7.12,6.47,7.3
tyrrhenian,night,0-5nm,77,-0.2,-5.74,3.67,4.89,4.81,9.31
tyrrhenian,night,10-20nm,333,0.0,-3.13,3.16,5.74,6.67,10.82
tyrrhenian,night,20-40nm,2049,0.5,-2.13,3.53,6.17,6.04,8.44
tyrrhenian,night,40nm+,8753,-0.04,-2.52,2.3,5.77,5.68,6.37
tyrrhenian,night,5-10nm,63,0.19,-3.1,3.43,6.12,6.26,10.2
