hour_local,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
0,3844,-0.1,-3.14,3.26,5.27,5.31,5.4
1,3813,-0.23,-3.33,3.38,5.4,5.42,5.72
2,3764,-0.53,-3.62,2.98,5.17,5.51,6.0
3,3722,-0.36,-3.63,3.25,5.35,5.54,6.24
4,3699,-0.34,-3.61,2.99,5.28,5.54,5.92
5,3664,-0.4,-3.29,2.84,5.28,5.54,5.65
6,3647,-0.37,-3.24,2.96,5.42,5.55,5.69
7,3621,-0.37,-3.44,2.76,5.34,5.57,5.83
8,3592,-0.5,-3.51,2.91,5.12,5.46,5.85
9,3591,-0.34,-3.57,3.02,4.93,5.22,5.57
10,4056,-0.5,-3.8,2.65,4.81,5.41,5.48
11,4326,-0.73,-4.21,2.73,4.6,5.48,5.65
12,4470,-0.23,-3.21,3.37,5.44,5.52,5.74
13,4426,-0.1,-2.59,3.39,5.92,5.86,6.22
14,4390,0.12,-2.67,3.66,6.03,5.77,6.26
15,4340,0.03,-2.73,3.58,6.01,5.68,6.58
16,4257,-0.11,-2.97,3.13,5.88,5.68,6.62
17,4205,-0.23,-3.28,2.91,5.76,5.83,6.64
18,4186,-0.23,-3.21,3.07,5.76,5.7,6.63
19,4147,-0.06,-3.08,3.38,5.8,5.67,6.15
20,4045,0.18,-3.05,3.36,5.87,5.65,5.85
21,3990,0.01,-3.29,3.38,5.73,5.57,5.64
22,3943,0.04,-3.29,3.5,5.6,5.4,5.48
23,3896,-0.07,-3.15,3.01,5.37,5.37,5.39
