region,offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
ligurian,0-5nm,737,0.03,-4.11,3.95,4.81,4.88,5.1
ligurian,10-20nm,846,-0.34,-3.24,3.1,5.36,5.45,5.51
ligurian,20-40nm,1643,-0.65,-3.18,2.62,5.76,5.69,5.85
ligurian,40nm+,576,-0.69,-3.22,3.24,4.43,5.59,4.37
ligurian,5-10nm,383,-0.13,-2.81,3.07,5.36,5.32,5.61
other,0-5nm,24,-0.06,-5.43,1.5,5.69,6.61,6.38
other,10-20nm,22,4.44,-2.48,6.29,6.48,3.5,10.49
other,20-40nm,1,0.62,0.62,0.62,6.38,5.75,6.62
other,5-10nm,7,0.59,-2.02,3.92,7.4,7.03,7.48
sardinia_east,0-5nm,5185,0.05,-2.9,3.83,5.9,5.88,7.17
sardinia_east,10-20nm,1695,-0.56,-3.1,2.64,5.95,6.3,7.48
sardinia_east,20-40nm,1742,-0.37,-3.02,3.37,5.25,5.41,5.88
sardinia_east,40nm+,1981,-0.24,-3.14,2.84,5.15,5.28,4.48
sardinia_east,5-10nm,1420,-0.17,-3.14,3.4,5.72,6.0,7.19
tyrrhenian,0-5nm,1941,-0.11,-2.87,3.16,5.8,5.98,5.74
tyrrhenian,10-20nm,2641,1.04,-1.15,4.33,6.91,5.83,6.22
tyrrhenian,20-40nm,250,1.45,-1.34,5.83,7.64,6.34,6.53
tyrrhenian,40nm+,3477,-0.78,-3.4,1.8,5.07,5.69,5.91
tyrrhenian,5-10nm,1517,0.95,-1.73,3.65,7.12,6.47,7.3
