region,offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
ligurian,0-5nm,913,-0.19,-4.04,3.96,3.65,4.42,2.15
ligurian,10-20nm,901,-0.68,-3.75,2.72,5.87,6.03,6.1
ligurian,20-40nm,2950,-0.64,-3.55,2.58,5.59,5.92,6.37
ligurian,40nm+,984,-0.35,-2.96,2.31,5.65,5.77,6.5
ligurian,5-10nm,465,0.06,-4.22,4.11,5.28,5.52,5.0
other,0-5nm,41,1.39,-0.86,4.52,6.21,4.51,4.32
other,10-20nm,15,2.88,0.58,4.51,5.15,3.55,5.23
other,5-10nm,50,3.37,0.37,5.29,5.48,2.64,4.89
sardinia_east,0-5nm,6236,0.11,-3.34,3.62,4.93,4.92,4.2
sardinia_east,10-20nm,2916,-0.25,-3.85,2.89,5.3,5.52,5.8
sardinia_east,20-40nm,2963,-0.17,-3.45,3.17,4.88,5.31,4.88
sardinia_east,40nm+,1838,-0.47,-3.34,2.81,4.36,4.87,3.39
sardinia_east,5-10nm,2788,-0.14,-3.75,3.38,4.91,5.14,4.95
tyrrhenian,0-5nm,77,-0.5,-4.77,4.68,4.89,4.81,9.31
tyrrhenian,10-20nm,333,-0.66,-3.6,2.51,5.74,6.67,10.82
tyrrhenian,20-40nm,2049,0.05,-2.75,3.17,6.17,6.04,8.44
tyrrhenian,40nm+,8753,-0.24,-2.95,3.03,5.77,5.68,6.37
tyrrhenian,5-10nm,63,0.44,-3.0,4.8,6.12,6.26,10.2
