region,tod_band,offshore_bin,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
ligurian,afternoon,0-5nm,737,0.03,-4.11,3.95,4.81,4.88,5.1
ligurian,afternoon,10-20nm,846,-0.34,-3.24,3.1,5.36,5.45,5.51
ligurian,afternoon,20-40nm,1643,-0.65,-3.18,2.62,5.76,5.69,5.85
ligurian,afternoon,40nm+,576,-0.69,-3.22,3.24,4.43,5.59,4.37
ligurian,afternoon,5-10nm,383,-0.13,-2.81,3.07,5.36,5.32,5.61
ligurian,night,0-5nm,913,-0.19,-4.04,3.96,3.65,4.42,2.15
ligurian,night,10-20nm,901,-0.68,-3.75,2.72,5.87,6.03,6.1
ligurian,night,20-40nm,2950,-0.64,-3.55,2.58,5.59,5.92,6.37
ligurian,night,40nm+,984,-0.35,-2.96,2.31,5.65,5.77,6.5
ligurian,night,5-10nm,465,0.06,-4.22,4.11,5.28,5.52,5.0
other,afternoon,0-5nm,24,-0.06,-5.43,1.5,5.69,6.61,6.38
other,afternoon,10-20nm,22,4.44,-2.48,6.29,6.48,3.5,10.49
other,afternoon,20-40nm,1,0.62,0.62,0.62,6.38,5.75,6.62
other,afternoon,5-10nm,7,0.59,-2.02,3.92,7.4,7.03,7.48
other,night,0-5nm,41,1.39,-0.86,4.52,6.21,4.51,4.32
other,night,10-20nm,15,2.88,0.58,4.51,5.15,3.55,5.23
other,night,5-10nm,50,3.37,0.37,5.29,5.48,2.64,4.89
sardinia_east,afternoon,0-5nm,5185,0.05,-2.9,3.83,5.9,5.88,7.17
sardinia_east,afternoon,10-20nm,1695,-0.56,-3.1,2.64,5.95,6.3,7.48
sardinia_east,afternoon,20-40nm,1742,-0.37,-3.02,3.37,5.25,5.41,5.88
sardinia_east,afternoon,40nm+,1981,-0.24,-3.14,2.84,5.15,5.28,4.48
sardinia_east,afternoon,5-10nm,1420,-0.17,-3.14,3.4,5.72,6.0,7.19
sardinia_east,night,0-5nm,6236,0.11,-3.34,3.62,4.93,4.92,4.2
sardinia_east,night,10-20nm,2916,-0.25,-3.85,2.89,5.3,5.52,5.8
sardinia_east,night,20-40nm,2963,-0.17,-3.45,3.17,4.88,5.31,4.88
sardinia_east,night,40nm+,1838,-0.47,-3.34,2.81,4.36,4.87,3.39
sardinia_east,night,5-10nm,2788,-0.14,-3.75,3.38,4.91,5.14,4.95
tyrrhenian,afternoon,0-5nm,1941,-0.11,-2.87,3.16,5.8,5.98,5.74
tyrrhenian,afternoon,10-20nm,2641,1.04,-1.15,4.33,6.91,5.83,6.22
tyrrhenian,afternoon,20-40nm,250,1.45,-1.34,5.83,7.64,6.34,6.53
tyrrhenian,afternoon,40nm+,3477,-0.78,-3.4,1.8,5.07,5.69,5.91
tyrrhenian,afternoon,5-10nm,1517,0.95,-1.73,3.65,7.12,6.47,7.3
tyrrhenian,night,0-5nm,77,-0.5,-4.77,4.68,4.89,4.81,9.31
tyrrhenian,night,10-20nm,333,-0.66,-3.6,2.51,5.74,6.67,10.82
tyrrhenian,night,20-40nm,2049,0.05,-2.75,3.17,6.17,6.04,8.44
tyrrhenian,night,40nm+,8753,-0.24,-2.95,3.03,5.77,5.68,6.37
tyrrhenian,night,5-10nm,63,0.44,-3.0,4.8,6.12,6.26,10.2
